"Notes"	"State"	"State Code"	"Year"	"Year Code"	Count	Percent of Total	Rate	Population
	"Kentucky"	"21"	"1995"	"1995"	327	0.098%	8.412	3887427
	"Kentucky"	"21"	"1994"	"1994"	345	0.104%	8.963	3849088
	"Kentucky"	"21"	"1993"	"1993"	402	0.121%	10.545	3812206
	"Louisiana"	"22"	"2013"	"2013"	139	0.042%	3.005	4625470
	"Louisiana"	"22"	"2012"	"2012"	148	0.045%	3.216	4602134
	"Louisiana"	"22"	"2011"	"2011"	167	0.050%	3.650	4575197
	"Louisiana"	"22"	"2010"	"2010"	200	0.060%	4.400	4545392
	"Louisiana"	"22"	"2009"	"2009"	194	0.058%	4.319	4491648
	"Louisiana"	"22"	"2008"	"2008"	227	0.068%	5.118	4435586
	"Louisiana"	"22"	"2007"	"2007"	217	0.065%	4.959	4375581
	"Louisiana"	"22"	"2006"	"2006"	205	0.062%	4.764	4302665
	"Louisiana"	"22"	"2005"	"2005"	257	0.077%	5.615	4576628
	"Louisiana"	"22"	"2004"	"2004"	248	0.075%	5.448	4552238
	"Louisiana"	"22"	"2003"	"2003"	256	0.077%	5.662	4521042
	"Louisiana"	"22"	"2002"	"2002"	230	0.069%	5.114	4497267
	"Louisiana"	"22"	"2001"	"2001"	294	0.089%	6.566	4477875
	"Louisiana"	"22"	"2000"	"2000"	331	0.100%	7.402	4471885
	"Louisiana"	"22"	"1999"	"1999"	357	0.107%	8.003	4460811
	"Louisiana"	"22"	"1998"	"1998"	379	0.114%	8.535	4440344
	"Louisiana"	"22"	"1997"	"1997"	406	0.122%	9.183	4421072
	"Louisiana"	"22"	"1996"	"1996"	420	0.126%	9.548	4398877
	"Louisiana"	"22"	"1995"	"1995"	474	0.143%	10.825	4378779
	"Louisiana"	"22"	"1994"	"1994"	434	0.131%	9.983	4347481
	"Louisiana"	"22"	"1993"	"1993"	363	0.109%	8.410	4316428
	"Maine"	"23"	"2013"	"2013"	15	0.005%	1.129	1328302
	"Maine"	"23"	"2012"	"2012"	17	0.005%	1.280	1328501
	"Maine"	"23"	"2011"	"2011"	9	0.003%	0.678	1327844
	"Maine"	"23"	"2010"	"2010"	8	0.002%	0.603	1327366
	"Maine"	"23"	"2009"	"2009"	9	0.003%	0.677	1329590
	"Maine"	"23"	"2008"	"2008"	9	0.003%	0.676	1330509
	"Maine"	"23"	"2007"	"2007"	19	0.006%	1.432	1327040
	"Maine"	"23"	"2006"	"2006"	16	0.005%	1.209	1323619
	"Maine"	"23"	"2005"	"2005"	17	0.005%	1.289	1318787
	"Maine"	"23"	"2004"	"2004"	20	0.006%	1.522	1313688
	"Maine"	"23"	"2003"	"2003"	24	0.007%	1.837	1306513
	"Maine"	"23"	"2002"	"2002"	23	0.007%	1.775	1295960
	"Maine"	"23"	"2001"	"2001"	20	0.006%	1.556	1285692
	"Maine"	"23"	"2000"	"2000"	24	0.007%	1.879	1277072
	"Maine"	"23"	"1999"	"1999"	23	0.007%	1.816	1266808
	"Maine"	"23"	"1998"	"1998"	13	0.004%	1.032	1259127
	"Maine"	"23"	"1997"	"1997"	21	0.006%	1.674	1254774
	"Maine"	"23"	"1996"	"1996"	21	0.006%	1.681	1249060
	"Maine"	"23"	"1995"	"1995"	28	0.008%	2.252	1243481
	"Maine"	"23"	"1994"	"1994"	35	0.011%	2.817	1242662
	"Maine"	"23"	"1993"	"1993"	28	0.008%	2.254	1242302
	"Maryland"	"24"	"2013"	"2013"	176	0.053%	2.969	5928814
	"Maryland"	"24"	"2012"	"2012"	224	0.067%	3.806	5884868
	"Maryland"	"24"	"2011"	"2011"	232	0.070%	3.972	5840241
	"Maryland"	"24"	"2010"	"2010"	220	0.066%	3.801	5787193
	"Maryland"	"24"	"2009"	"2009"	218	0.066%	3.804	5730388
	"Maryland"	"24"	"2008"	"2008"	278	0.084%	4.890	5684965
	"Maryland"	"24"	"2007"	"2007"	271	0.082%	4.794	5653408
	"Maryland"	"24"	"2006"	"2006"	252	0.076%	4.478	5627367
	"Maryland"	"24"	"2005"	"2005"	283	0.085%	5.060	5592379
	"Maryland"	"24"	"2004"	"2004"	313	0.094%	5.643	5546935
	"Maryland"	"24"	"2003"	"2003"	269	0.081%	4.894	5496269
	"Maryland"	"24"	"2002"	"2002"	306	0.092%	5.625	5440389
	"Maryland"	"24"	"2001"	"2001"	262	0.079%	4.875	5374691
	"Maryland"	"24"	"2000"	"2000"	283	0.085%	5.329	5311034
	"Maryland"	"24"	"1999"	"1999"	292	0.088%	5.557	5254509
	"Maryland"	"24"	"1998"	"1998"	321	0.097%	6.168	5204464
	"Maryland"	"24"	"1997"	"1997"	338	0.102%	6.554	5157328
	"Maryland"	"24"	"1996"	"1996"	317	0.095%	6.201	5111986
	"Maryland"	"24"	"1995"	"1995"	369	0.111%	7.278	5070033
	"Maryland"	"24"	"1994"	"1994"	362	0.109%	7.207	5023060
	"Maryland"	"24"	"1993"	"1993"	417	0.126%	8.387	4971889
	"Massachusetts"	"25"	"2013"	"2013"	201	0.061%	3.003	6692824
	"Massachusetts"	"25"	"2012"	"2012"	216	0.065%	3.250	6645303
	"Massachusetts"	"25"	"2011"	"2011"	195	0.059%	2.952	6606285
	"Massachusetts"	"25"	"2010"	"2010"	222	0.067%	3.382	6563263
	"Massachusetts"	"25"	"2009"	"2009"	242	0.073%	3.713	6517613
	"Massachusetts"	"25"	"2008"	"2008"	261	0.079%	4.035	6468967
	"Massachusetts"	"25"	"2007"	"2007"	224	0.067%	3.483	6431559
	"Massachusetts"	"25"	"2006"	"2006"	259	0.078%	4.041	6410084
	"Massachusetts"	"25"	"2005"	"2005"	266	0.080%	4.154	6403290
	"Massachusetts"	"25"	"2004"	"2004"	283	0.085%	4.413	6412281
	"Massachusetts"	"25"	"2003"	"2003"	261	0.079%	4.064	6422565
	"Massachusetts"	"25"	"2002"	"2002"	271	0.082%	4.223	6417206
	"Massachusetts"	"25"	"2001"	"2001"	270	0.081%	4.220	6397634
	"Massachusetts"	"25"	"2000"	"2000"	285	0.086%	4.480	6361104
	"Massachusetts"	"25"	"1999"	"1999"	270	0.081%	4.274	6317345
	"Massachusetts"	"25"	"1998"	"1998"	280	0.084%	4.464	6271838
	"Massachusetts"	"25"	"1997"	"1997"	268	0.081%	4.304	6226058
	"Massachusetts"	"25"	"1996"	"1996"	262	0.079%	4.240	6179756
	"Massachusetts"	"25"	"1995"	"1995"	330	0.099%	5.373	6141445
	"Massachusetts"	"25"	"1994"	"1994"	329	0.099%	5.398	6095241
	"Massachusetts"	"25"	"1993"	"1993"	366	0.110%	6.039	6060569
	"Michigan"	"26"	"2013"	"2013"	141	0.042%	1.425	9895622
	"Michigan"	"26"	"2012"	"2012"	149	0.045%	1.508	9882519
	"Michigan"	"26"	"2011"	"2011"	170	0.051%	1.722	9874589
	"Michigan"	"26"	"2010"	"2010"	184	0.055%	1.863	9876149
	"Michigan"	"26"	"2009"	"2009"	144	0.043%	1.454	9901591
	"Michigan"	"26"	"2008"	"2008"	188	0.057%	1.890	9946889
	"Michigan"	"26"	"2007"	"2007"	226	0.068%	2.260	10001284
	"Michigan"	"26"	"2006"	"2006"	221	0.067%	2.202	10036081
	"Michigan"	"26"	"2005"	"2005"	245	0.074%	2.438	10051137
	"Michigan"	"26"	"2004"	"2004"	272	0.082%	2.705	10055315
	"Michigan"	"26"	"2003"	"2003"	243	0.073%	2.420	10041152
	"Michigan"	"26"	"2002"	"2002"	315	0.095%	3.145	10015710
	"Michigan"	"26"	"2001"	"2001"	329	0.099%	3.293	9991120
	"Michigan"	"26"	"2000"	"2000"	287	0.086%	2.884	9952450
	"Michigan"	"26"	"1999"	"1999"	349	0.105%	3.526	9897116
	"Michigan"	"26"	"1998"	"1998"	383	0.115%	3.889	9847942
	"Michigan"	"26"	"1997"	"1997"	372	0.112%	3.792	9809051
	"Michigan"	"26"	"1996"	"1996"	440	0.132%	4.509	9758645
	"Michigan"	"26"	"1995"	"1995"	424	0.128%	4.382	9676211
	"Michigan"	"26"	"1994"	"1994"	461	0.139%	4.803	9597737
	"Michigan"	"26"	"1993"	"1993"	480	0.145%	5.031	9540114
	"Minnesota"	"27"	"2013"	"2013"	151	0.045%	2.786	5420380
	"Minnesota"	"27"	"2012"	"2012"	162	0.049%	3.011	5379646
	"Minnesota"	"27"	"2011"	"2011"	137	0.041%	2.562	5347108
	"Minnesota"	"27"	"2010"	"2010"	135	0.041%	2.542	5310337
	"Minnesota"	"27"	"2009"	"2009"	161	0.048%	3.049	5281203
	"Minnesota"	"27"	"2008"	"2008"	211	0.064%	4.021	5247018
	"Minnesota"	"27"	"2007"	"2007"	238	0.072%	4.571	5207203
	"Minnesota"	"27"	"2006"	"2006"	217	0.065%	4.203	5163555
	"Minnesota"	"27"	"2005"	"2005"	199	0.060%	3.887	5119598
	"Minnesota"	"27"	"2004"	"2004"	199	0.060%	3.911	5087713
	"Minnesota"	"27"	"2003"	"2003"	214	0.064%	4.235	5053572
	"Minnesota"	"27"	"2002"	"2002"	237	0.071%	4.722	5018935
	"Minnesota"	"27"	"2001"	"2001"	239	0.072%	4.796	4982796
	"Minnesota"	"27"	"2000"	"2000"	178	0.054%	3.608	4933692
	"Minnesota"	"27"	"1999"	"1999"	201	0.061%	4.124	4873481
	"Minnesota"	"27"	"1998"	"1998"	161	0.048%	3.345	4813412
	"Minnesota"	"27"	"1997"	"1997"	161	0.048%	3.380	4763390
	"Minnesota"	"27"	"1996"	"1996"	131	0.039%	2.780	4712827
	"Minnesota"	"27"	"1995"	"1995"	156	0.047%	3.348	4660180
	"Minnesota"	"27"	"1994"	"1994"	140	0.042%	3.037	4610355
	"Minnesota"	"27"	"1993"	"1993"	141	0.042%	3.095	4555956
	"Mississippi"	"28"	"2013"	"2013"	65	0.020%	2.173	2991207
	"Mississippi"	"28"	"2012"	"2012"	81	0.024%	2.712	2986450
	"Mississippi"	"28"	"2011"	"2011"	91	0.027%	3.056	2977886
	"Mississippi"	"28"	"2010"	"2010"	116	0.035%	3.906	2970047
	"Mississippi"	"28"	"2009"	"2009"	121	0.036%	4.090	2958774
	"Mississippi"	"28"	"2008"	"2008"	117	0.035%	3.969	2947806
	"Mississippi"	"28"	"2007"	"2007"	137	0.041%	4.678	2928350
	"Mississippi"	"28"	"2006"	"2006"	115	0.035%	3.959	2904978
	"Mississippi"	"28"	"2005"	"2005"	103	0.031%	3.544	2905943
	"Mississippi"	"28"	"2004"	"2004"	119	0.036%	4.119	2889010
	"Mississippi"	"28"	"2003"	"2003"	129	0.039%	4.497	2868312
	"Mississippi"	"28"	"2002"	"2002"	134	0.040%	4.687	2858681
	"Mississippi"	"28"	"2001"	"2001"	154	0.046%	5.398	2852994
	"Mississippi"	"28"	"2000"	"2000"	173	0.052%	6.074	2848353
	"Mississippi"	"28"	"1999"	"1999"	215	0.065%	7.601	2828408
	"Mississippi"	"28"	"1998"	"1998"	225	0.068%	8.022	2804834
	"Mississippi"	"28"	"1997"	"1997"	245	0.074%	8.822	2777004
	"Mississippi"	"28"	"1996"	"1996"	250	0.075%	9.097	2748085
	"Mississippi"	"28"	"1995"	"1995"	271	0.082%	9.954	2722659
	"Mississippi"	"28"	"1994"	"1994"	278	0.084%	10.338	2688992
	"Mississippi"	"28"	"1993"	"1993"	279	0.084%	10.508	2655100
	"Missouri"	"29"	"2013"	"2013"	104	0.031%	1.721	6044171
	"Missouri"	"29"	"2012"	"2012"	89	0.027%	1.477	6024522
	"Missouri"	"29"	"2011"	"2011"	97	0.029%	1.614	6010065
	"Missouri"	"29"	"2010"	"2010"	107	0.032%	1.784	5996063
	"Missouri"	"29"	"2009"	"2009"	79	0.024%	1.325	5961088
	"Missouri"	"29"	"2008"	"2008"	107	0.032%	1.806	5923916
	"Missouri"	"29"	"2007"	"2007"	118	0.036%	2.004	5887612
	"Missouri"	"29"	"2006"	"2006"	104	0.031%	1.780	5842704
	"Missouri"	"29"	"2005"	"2005"	108	0.033%	1.865	5790300
	"Missouri"	"29"	"2004"	"2004"	127	0.038%	2.210	5747741
	"Missouri"	"29"	"2003"	"2003"	130	0.039%	2.277	5709403
	"Missouri"	"29"	"2002"	"2002"	136	0.041%	2.397	5674825
	"Missouri"	"29"	"2001"	"2001"	156	0.047%	2.765	5641142
	"Missouri"	"29"	"2000"	"2000"	210	0.063%	3.745	5607285
	"Missouri"	"29"	"1999"	"1999"	208	0.063%	3.740	5561948
	"Missouri"	"29"	"1998"	"1998"	184	0.055%	3.332	5521765
	"Missouri"	"29"	"1997"	"1997"	248	0.075%	4.525	5481193
	"Missouri"	"29"	"1996"	"1996"	224	0.067%	4.124	5431553
	"Missouri"	"29"	"1995"	"1995"	244	0.073%	4.537	5378247
	"Missouri"	"29"	"1994"	"1994"	259	0.078%	4.864	5324497
	"Missouri"	"29"	"1993"	"1993"	256	0.077%	4.857	5271175
	"Montana"	"30"	"2013"	"2013"	6	0.002%	0.591	1015165
	"Montana"	"30"	"2012"	"2012"	5	0.002%	0.497	1005494
	"Montana"	"30"	"2011"	"2011"	8	0.002%	0.802	997600
	"Montana"	"30"	"2010"	"2010"	6	0.002%	0.606	990527
	"Montana"	"30"	"2009"	"2009"	8	0.002%	0.813	983982
	"Montana"	"30"	"2008"	"2008"	9	0.003%	0.922	976415
	"Montana"	"30"	"2007"	"2007"	11	0.003%	1.140	964706
	"Montana"	"30"	"2006"	"2006"	13	0.004%	1.365	952692
	"Montana"	"30"	"2005"	"2005"	10	0.003%	1.064	940102
	"Montana"	"30"	"2004"	"2004"	15	0.005%	1.613	930009
	"Montana"	"30"	"2003"	"2003"	7	0.002%	0.761	919630
	"Montana"	"30"	"2002"	"2002"	12	0.004%	1.316	911667
	"Montana"	"30"	"2001"	"2001"	20	0.006%	2.205	906961
	"Montana"	"30"	"2000"	"2000"	21	0.006%	2.324	903773
	"Montana"	"30"	"1999"	"1999"	14	0.004%	1.560	897508
	"Montana"	"30"	"1998"	"1998"	20	0.006%	2.241	892431
	"Montana"	"30"	"1997"	"1997"	18	0.005%	2.023	889865
	"Montana"	"30"	"1996"	"1996"	19	0.006%	2.144	886254
	"Montana"	"30"	"1995"	"1995"	21	0.006%	2.396	876553
	"Montana"	"30"	"1994"	"1994"	25	0.008%	2.903	861306
	"Montana"	"30"	"1993"	"1993"	22	0.007%	2.604	844761
	"Nebraska"	"31"	"2013"	"2013"	21	0.006%	1.124	1868516
	"Nebraska"	"31"	"2012"	"2012"	22	0.007%	1.186	1855350
	"Nebraska"	"31"	"2011"	"2011"	23	0.007%	1.249	1841749
	"Nebraska"	"31"	"2010"	"2010"	27	0.008%	1.476	1829838
	"Nebraska"	"31"	"2009"	"2009"	32	0.010%	1.765	1812683
	"Nebraska"	"31"	"2008"	"2008"	33	0.010%	1.837	1796378
	"Nebraska"	"31"	"2007"	"2007"	25	0.008%	1.402	1783440
	"Nebraska"	"31"	"2006"	"2006"	25	0.008%	1.410	1772693
	"Nebraska"	"31"	"2005"	"2005"	35	0.011%	1.987	1761497
	"Nebraska"	"31"	"2004"	"2004"	39	0.012%	2.229	1749370
	"Nebraska"	"31"	"2003"	"2003"	28	0.008%	1.610	1738643
	"Nebraska"	"31"	"2002"	"2002"	28	0.008%	1.620	1728292
	"Nebraska"	"31"	"2001"	"2001"	40	0.012%	2.326	1719836
	"Nebraska"	"31"	"2000"	"2000"	24	0.007%	1.400	1713820
	"Nebraska"	"31"	"1999"	"1999"	18	0.005%	1.056	1704764
	"Nebraska"	"31"	"1998"	"1998"	31	0.009%	1.828	1695817
	"Nebraska"	"31"	"1997"	"1997"	22	0.007%	1.305	1686418
	"Nebraska"	"31"	"1996"	"1996"	22	0.007%	1.314	1673740
	"Nebraska"	"31"	"1995"	"1995"	24	0.007%	1.448	1656993
	"Nebraska"	"31"	"1994"	"1994"	22	0.007%	1.342	1639041
	"Nebraska"	"31"	"1993"	"1993"	23	0.007%	1.415	1625590
	"Nevada"	"32"	"2013"	"2013"	92	0.028%	3.297	2790136
	"Nevada"	"32"	"2012"	"2012"	84	0.025%	3.050	2754354
	"Nevada"	"32"	"2011"	"2011"	96	0.029%	3.532	2717951
	"Nevada"	"32"	"2010"	"2010"	114	0.034%	4.217	2703230
	"Nevada"	"32"	"2009"	"2009"	106	0.032%	3.948	2684665
	"Nevada"	"32"	"2008"	"2008"	102	0.031%	3.844	2653630
	"Nevada"	"32"	"2007"	"2007"	102	0.031%	3.921	2601072
	"Nevada"	"32"	"2006"	"2006"	101	0.030%	4.004	2522658
	"Nevada"	"32"	"2005"	"2005"	112	0.034%	4.605	2432143
	"Nevada"	"32"	"2004"	"2004"	95	0.029%	4.049	2346222
	"Nevada"	"32"	"2003"	"2003"	106	0.032%	4.714	2248850
	"Nevada"	"32"	"2002"	"2002"	85	0.026%	3.910	2173791
	"Nevada"	"32"	"2001"	"2001"	96	0.029%	4.575	2098399
	"Nevada"	"32"	"2000"	"2000"	96	0.029%	4.755	2018741
	"Nevada"	"32"	"1999"	"1999"	93	0.028%	4.807	1934718
	"Nevada"	"32"	"1998"	"1998"	128	0.039%	6.907	1853192
	"Nevada"	"32"	"1997"	"1997"	112	0.034%	6.349	1764104
	"Nevada"	"32"	"1996"	"1996"	137	0.041%	8.222	1666320
	"Nevada"	"32"	"1995"	"1995"	116	0.035%	7.334	1581578
	"Nevada"	"32"	"1994"	"1994"	125	0.038%	8.337	1499298
	"Nevada"	"32"	"1993"	"1993"	101	0.030%	7.157	1411215
	"New Hampshire"	"33"	"2013"	"2013"	15	0.005%	1.133	1323459
	"New Hampshire"	"33"	"2012"	"2012"	9	0.003%	0.681	1321617
	"New Hampshire"	"33"	"2011"	"2011"	11	0.003%	0.835	1318075
	"New Hampshire"	"33"	"2010"	"2010"	10	0.003%	0.760	1316614
	"New Hampshire"	"33"	"2009"	"2009"	16	0.005%	1.216	1316102
	"New Hampshire"	"33"	"2008"	"2008"	19	0.006%	1.444	1315906
	"New Hampshire"	"33"	"2007"	"2007"	11	0.003%	0.838	1312540
	"New Hampshire"	"33"	"2006"	"2006"	17	0.005%	1.299	1308389
	"New Hampshire"	"33"	"2005"	"2005"	4	0.001%	0.308	1298492
	"New Hampshire"	"33"	"2004"	"2004"	24	0.007%	1.860	1290121
	"New Hampshire"	"33"	"2003"	"2003"	15	0.005%	1.172	1279840
	"New Hampshire"	"33"	"2002"	"2002"	19	0.006%	1.497	1269089
	"New Hampshire"	"33"	"2001"	"2001"	20	0.006%	1.593	1255517
	"New Hampshire"	"33"	"2000"	"2000"	22	0.007%	1.774	1239882
	"New Hampshire"	"33"	"1999"	"1999"	19	0.006%	1.555	1222015
	"New Hampshire"	"33"	"1998"	"1998"	14	0.004%	1.161	1205941
	"New Hampshire"	"33"	"1997"	"1997"	17	0.005%	1.429	1189425
	"New Hampshire"	"33"	"1996"	"1996"	21	0.006%	1.788	1174719
	"New Hampshire"	"33"	"1995"	"1995"	23	0.007%	1.987	1157561
	"New Hampshire"	"33"	"1994"	"1994"	17	0.005%	1.488	1142561
	"New Hampshire"	"33"	"1993"	"1993"	26	0.008%	2.302	1129458
	"New Jersey"	"34"	"2013"	"2013"	319	0.096%	3.585	8899339
	"New Jersey"	"34"	"2012"	"2012"	302	0.091%	3.406	8867749
	"New Jersey"	"34"	"2011"	"2011"	331	0.100%	3.746	8836639
	"New Jersey"	"34"	"2010"	"2010"	405	0.122%	4.601	8802707
	"New Jersey"	"34"	"2009"	"2009"	405	0.122%	4.626	8755602
	"New Jersey"	"34"	"2008"	"2008"	422	0.127%	4.844	8711090
	"New Jersey"	"34"	"2007"	"2007"	467	0.141%	5.381	8677885
	"New Jersey"	"34"	"2006"	"2006"	508	0.153%	5.865	8661679
	"New Jersey"	"34"	"2005"	"2005"	485	0.146%	5.606	8651974
	"New Jersey"	"34"	"2004"	"2004"	482	0.145%	5.582	8634561
	"New Jersey"	"34"	"2003"	"2003"	495	0.149%	5.755	8601402
	"New Jersey"	"34"	"2002"	"2002"	530	0.160%	6.197	8552643
	"New Jersey"	"34"	"2001"	"2001"	530	0.160%	6.241	8492671
	"New Jersey"	"34"	"2000"	"2000"	565	0.170%	6.702	8430621
	"New Jersey"	"34"	"1999"	"1999"	570	0.172%	6.819	8359592
	"New Jersey"	"34"	"1998"	"1998"	639	0.192%	7.710	8287418
	"New Jersey"	"34"	"1997"	"1997"	718	0.216%	8.736	8218808
	"New Jersey"	"34"	"1996"	"1996"	820	0.247%	10.062	8149596
	"New Jersey"	"34"	"1995"	"1995"	848	0.255%	10.491	8083242
	"New Jersey"	"34"	"1994"	"1994"	853	0.257%	10.643	8014306
	"New Jersey"	"34"	"1993"	"1993"	911	0.274%	11.461	7948915
	"New Mexico"	"35"	"2013"	"2013"	50	0.015%	2.398	2085287
	"New Mexico"	"35"	"2012"	"2012"	40	0.012%	1.920	2083540
	"New Mexico"	"35"	"2011"	"2011"	49	0.015%	2.358	2077919
	"New Mexico"	"35"	"2010"	"2010"	50	0.015%	2.421	2064982
	"New Mexico"	"35"	"2009"	"2009"	48	0.014%	2.357	2036802
	"New Mexico"	"35"	"2008"	"2008"	59	0.018%	2.934	2010662
	"New Mexico"	"35"	"2007"	"2007"	51	0.015%	2.563	1990070
	"New Mexico"	"35"	"2006"	"2006"	48	0.014%	2.446	1962137
	"New Mexico"	"35"	"2005"	"2005"	39	0.012%	2.018	1932274
	"New Mexico"	"35"	"2004"	"2004"	42	0.013%	2.206	1903808
	"New Mexico"	"35"	"2003"	"2003"	49	0.015%	2.610	1877574
	"New Mexico"	"35"	"2002"	"2002"	57	0.017%	3.072	1855309
	"New Mexico"	"35"	"2001"	"2001"	54	0.016%	2.948	1831690
	"New Mexico"	"35"	"2000"	"2000"	46	0.014%	2.526	1821204
	"New Mexico"	"35"	"1999"	"1999"	64	0.019%	3.540	1808082
	"New Mexico"	"35"	"1998"	"1998"	67	0.020%	3.736	1793484
	"New Mexico"	"35"	"1997"	"1997"	72	0.022%	4.057	1774839
	"New Mexico"	"35"	"1996"	"1996"	89	0.027%	5.079	1752326
	"New Mexico"	"35"	"1995"	"1995"	81	0.024%	4.708	1720394
	"New Mexico"	"35"	"1994"	"1994"	82	0.025%	4.874	1682398
	"New Mexico"	"35"	"1993"	"1993"	73	0.022%	4.461	1636453
	"New York"	"36"	"2013"	"2013"	872	0.263%	4.437	19651127
	"New York"	"36"	"2012"	"2012"	864	0.260%	4.414	19576125
	"New York"	"36"	"2011"	"2011"	905	0.273%	4.640	19502728
	"New York"	"36"	"2010"	"2010"	949	0.286%	4.892	19398228
	"New York"	"36"	"2009"	"2009"	1002	0.302%	5.190	19307066
	"New York"	"36"	"2008"	"2008"	1190	0.358%	6.194	19212436
	"New York"	"36"	"2007"	"2007"	1169	0.352%	6.110	19132335
	"New York"	"36"	"2006"	"2006"	1263	0.380%	6.611	19104631
	"New York"	"36"	"2005"	"2005"	1283	0.386%	6.706	19132610
	"New York"	"36"	"2004"	"2004"	1359	0.409%	7.089	19171567
	"New York"	"36"	"2003"	"2003"	1471	0.443%	7.671	19175939
	"New York"	"36"	"2002"	"2002"	1418	0.427%	7.409	19137800
	"New York"	"36"	"2001"	"2001"	1645	0.495%	8.620	19082838
	"New York"	"36"	"2000"	"2000"	1718	0.517%	9.041	19001780
	"New York"	"36"	"1999"	"1999"	1824	0.549%	9.660	18882725
	"New York"	"36"	"1998"	"1998"	1974	0.594%	10.525	18755906
	"New York"	"36"	"1997"	"1997"	2230	0.671%	11.953	18656546
	"New York"	"36"	"1996"	"1996"	2545	0.766%	13.691	18588460
	"New York"	"36"	"1995"	"1995"	3018	0.909%	16.292	18524104
	"New York"	"36"	"1994"	"1994"	3575	1.076%	19.367	18459470
	"New York"	"36"	"1993"	"1993"	3864	1.164%	21.029	18374954
	"North Carolina"	"37"	"2013"	"2013"	216	0.065%	2.193	9848060
	"North Carolina"	"37"	"2012"	"2012"	211	0.064%	2.164	9748364
	"North Carolina"	"37"	"2011"	"2011"	244	0.073%	2.528	9651377
	"North Carolina"	"37"	"2010"	"2010"	296	0.089%	3.096	9559533
	"North Carolina"	"37"	"2009"	"2009"	250	0.075%	2.646	9449566
	"North Carolina"	"37"	"2008"	"2008"	335	0.101%	3.598	9309449
	"North Carolina"	"37"	"2007"	"2007"	345	0.104%	3.784	9118037
	"North Carolina"	"37"	"2006"	"2006"	374	0.113%	4.194	8917270
	"North Carolina"	"37"	"2005"	"2005"	329	0.099%	3.779	8705407
	"North Carolina"	"37"	"2004"	"2004"	381	0.115%	4.455	8553152
	"North Carolina"	"37"	"2003"	"2003"	374	0.113%	4.440	8422501
	"North Carolina"	"37"	"2002"	"2002"	434	0.131%	5.212	8326201
	"North Carolina"	"37"	"2001"	"2001"	397	0.120%	4.835	8210122
	"North Carolina"	"37"	"2000"	"2000"	447	0.135%	5.531	8081614
	"North Carolina"	"37"	"1999"	"1999"	488	0.147%	6.139	7949362
	"North Carolina"	"37"	"1998"	"1998"	498	0.150%	6.377	7809122
	"North Carolina"	"37"	"1997"	"1997"	463	0.139%	6.047	7656825
	"North Carolina"	"37"	"1996"	"1996"	554	0.167%	7.386	7500670
	"North Carolina"	"37"	"1995"	"1995"	518	0.156%	7.053	7344674
	"North Carolina"	"37"	"1994"	"1994"	565	0.170%	7.861	7187398
	"North Carolina"	"37"	"1993"	"1993"	594	0.179%	8.434	7042818
	"North Dakota"	"38"	"2013"	"2013"	12	0.004%	1.659	723393
	"North Dakota"	"38"	"2012"	"2012"	26	0.008%	3.707	701345
	"North Dakota"	"38"	"2011"	"2011"	7	0.002%	1.022	684867
	"North Dakota"	"38"	"2010"	"2010"	9	0.003%	1.335	674344
	"North Dakota"	"38"	"2009"	"2009"	5	0.002%	0.752	664968
	"North Dakota"	"38"	"2008"	"2008"	3	0.001%	0.456	657569
	"North Dakota"	"38"	"2007"	"2007"	7	0.002%	1.072	652822
	"North Dakota"	"38"	"2006"	"2006"	10	0.003%	1.540	649422
	"North Dakota"	"38"	"2005"	"2005"	6	0.002%	0.929	646089
	"North Dakota"	"38"	"2004"	"2004"	4	0.001%	0.620	644705
	"North Dakota"	"38"	"2003"	"2003"	6	0.002%	0.939	638817
	"North Dakota"	"38"	"2002"	"2002"	6	0.002%	0.940	638168
	"North Dakota"	"38"	"2001"	"2001"	6	0.002%	0.939	639062
	"North Dakota"	"38"	"2000"	"2000"	5	0.002%	0.779	642023
	"North Dakota"	"38"	"1999"	"1999"	7	0.002%	1.087	644259
	"North Dakota"	"38"	"1998"	"1998"	10	0.003%	1.544	647532
	"North Dakota"	"38"	"1997"	"1997"	12	0.004%	1.847	649716
	"North Dakota"	"38"	"1996"	"1996"	8	0.002%	1.230	650382
	"North Dakota"	"38"	"1995"	"1995"	5	0.002%	0.772	647832
	"North Dakota"	"38"	"1994"	"1994"	10	0.003%	1.551	644806
	"North Dakota"	"38"	"1993"	"1993"	7	0.002%	1.092	641216
	"Ohio"	"39"	"2013"	"2013"	148	0.045%	1.279	11570808
	"Ohio"	"39"	"2012"	"2012"	149	0.045%	1.290	11553031
	"Ohio"	"39"	"2011"	"2011"	145	0.044%	1.255	11549772
	"Ohio"	"39"	"2010"	"2010"	190	0.057%	1.646	11545435
	"Ohio"	"39"	"2009"	"2009"	180	0.054%	1.561	11528896
	"Ohio"	"39"	"2008"	"2008"	213	0.064%	1.850	11515391
	"Ohio"	"39"	"2007"	"2007"	251	0.076%	2.183	11500468
	"Ohio"	"39"	"2006"	"2006"	239	0.072%	2.082	11481213
	"Ohio"	"39"	"2005"	"2005"	260	0.078%	2.268	11463320
	"Ohio"	"39"	"2004"	"2004"	219	0.066%	1.912	11452251
	"Ohio"	"39"	"2003"	"2003"	229	0.069%	2.003	11434788
	"Ohio"	"39"	"2002"	"2002"	257	0.077%	2.253	11407889
	"Ohio"	"39"	"2001"	"2001"	306	0.092%	2.687	11387404
